K,code,quadrant,L3,L5,L7,L10,L14,L21,L28,L42,L56,L84,L112,L168,L252,SP,WI,DY,GR
0.25,90065B,intermittent,1.5701094842369079,1.3471837488457987,1.3471837488457987,1.2410631842764805,1.1385041551246537,1.1385041551246537,1.0929296926526844,1.2635536208943419,1.370399683419076,1.506463527239151,1.535681308534493,1.7073605065294717,3.2958053027305034,1.0224244822582773,1.0224244822582773,1.0,1.1385041551246537
0.25,23047,intermittent,1.9876308794010737,1.8083328812455917,1.557478435414745,1.4168610643953776,1.2920305972983233,1.0728042098410455,1.3352140183366787,1.5107144794661738,1.6125969728204848,2.5380024955243266,2.749688059458571,5.474800629306129,6.843161720826767,1.0761134921065472,1.2000759507405192,1.2973471491347028,1.2350675419085333
0.25,90003C,intermittent,2.0585348118523905,1.9323759316487912,1.80730776222505,1.6327940374477368,1.4011997818578443,1.2446827849481914,1.2503181239774586,1.2094164697327756,1.1592437738592989,1.6811488820214524,1.6404290129067443,2.574986366115252,2.7987638611161607,1.0038174877295043,1.369023813852026,1.1152517724050164,1.3946555171786947
0.25,17084A,intermittent,1.6677201038818084,1.6677201038818084,1.5752756135734307,1.5752756135734307,1.4934407409318402,1.3311254149252703,1.1936411089899042,1.0224038147326413,1.0584765147997162,0.9999999999999982,1.2850773093923589,1.7914215812737655,2.4800706877870273,1.028109574669347,1.1296910204151824,0.9999999999999982,1.4934407409318402
0.25,90123A,intermittent,1.2817161242939827,1.2102575760225225,1.2102575760225225,1.1637697378774896,1.0388724710161399,1.0423260531239622,1.0423260531239622,1.037123821847623,1.2281899732456685,1.4254988021753212,1.6876912585028074,2.751691818070532,6.188618042562161,1.1973525451588634,1.0777012258030676,1.1591882770559714,1.2102575760225225
0.25,90124A,intermittent,1.3357293640888148,1.3357293640888148,1.218123545817347,1.1112497881323287,1.106873757685018,1.072058121080448,1.0985685449698759,1.27510439297986,1.442441331915745,1.5116565740612309,2.4641905114100524,3.87951278139878,4.144971417125067,1.0321961817593495,1.152452271991865,1.0321961817593495,1.153954606388388
0.25,37506,intermittent,2.2041275420537283,1.773417022344966,1.688948029123776,1.4558573939241777,1.3526487572181773,1.1044037157921167,1.2601456188802405,1.1139141350740638,1.3401657042430326,1.6691940748179772,2.4356213909113777,2.9964951041928227,4.619412503138333,1.1083705749435107,1.2485764499121266,1.1752447903590255,1.4642229475269897
0.25,90024D,intermittent,1.2634000460087416,1.1662640901771335,1.1662640901771335,1.1662640901771335,1.1004140786749481,1.0560731538992407,0.9999999999999998,1.037152058891189,1.1551069703243613,1.3616862203818714,1.6413043478260851,2.001725327812282,2.9898205659075523,0.9999999999999998,0.9999999999999998,1.0684380032206116,1.1662640901771335
0.25,90064B,intermittent,1.35101789019124,1.2412091301665638,1.2412091301665638,1.2449105490438,1.1415792720542874,1.1415792720542874,1.1415792720542874,1.0977791486736583,1.1480567550894507,1.1443553362122145,1.336212214682295,1.585749537322638,2.9676125848241894,1.0000000000000007,1.5222085132634144,1.0000000000000007,1.1415792720542874
0.25,90035A,intermittent,1.450676865173314,1.455897529290354,1.2865294724701026,1.199235112001457,1.199235112001457,1.0000000000000004,1.2270988890912404,1.1894008377344758,1.654039944151036,1.7796394099435469,1.7796394099435469,3.8719723183391204,3.7977296181630766,1.0000000000000004,1.095125356644206,1.0000000000000004,1.196624779942937
0.25,22157,intermittent,1.7315123222969457,1.3021428057508286,1.2725125804663133,1.1966911998103935,1.251926747616166,1.4653947240338756,1.9500040206704783,2.6237117983400986,3.56393924132064,4.672129135471199,7.671244587965908,9.40481380063398,9.40481380063398,1.0861058325115647,1.375285150182622,1.1720973933358445,1.0992047537021912
0.25,20837,intermittent,1.4854756607481407,1.3953537697055742,1.2237323937565467,1.219421190688494,1.155166518054245,1.0860617419684364,1.03258507700432,1.1732380770995474,1.1843039311592634,1.6503272358955257,1.4593054461402606,1.7028884194852556,3.6632824876853785,1.0356929523083986,1.2559776821656439,1.0,1.219421190688494
0.25,90187B,intermittent,1.592694901026968,1.4824085305861165,1.4824085305861165,1.4824085305861165,1.379676840036565,1.379676840036565,1.150386202808159,1.150386202808159,1.0473307046800162,1.16872118423904,1.2016499241543055,1.2016499241543055,2.2287625817925663,1.0028420342090252,1.0067152710144902,1.0125911331521682,1.379676840036565
0.25,21277,intermittent,1.2545646067415732,1.137630696004994,1.1131625832292968,1.0766652361631297,1.071057012068248,1.0480161516853927,1.4031971754057422,1.6182018570536862,1.8178123699542243,3.136083151269262,4.409803500832304,6.286946004993752,9.914205550353673,1.0285450478568459,1.0810477788181434,1.0088691219309196,1.1151002652933835
0.25,90197B,intermittent,2.054613413651111,1.7985922358170237,1.5988214341774645,1.4667148982474938,1.3514288310765592,1.2553661567730945,1.1248977636046684,1.2829443137680727,1.2266939375735433,1.5667619889507993,1.6266710413418637,2.779309832043153,3.592317252074516,1.1055103204174181,1.2400740704897077,1.1784714050850886,1.4667148982474938
0.25,84563B,intermittent,1.7140263890683924,1.5116886575569934,1.4048781395275967,1.2880209373641476,1.2932259049946535,1.1323673399051433,1.1626679669294604,1.4320485405333423,1.6023947159199934,2.503017627960345,2.5288329358132353,4.3312595708349475,7.937090975314597,1.096868599045168,1.123920527311392,1.1461307390740705,1.2852892105603264
0.25,90016B,intermittent,1.5047378023659583,1.3626331587310927,1.3149314342887408,1.2245306338649873,1.236536990171267,1.17547525160379,1.0440233064563587,1.0726855394032127,1.2054028603378248,1.7366546995468246,1.658937084338773,3.2704372903302055,3.8030427873580255,1.0400211876875987,1.0163321758578066,1.045671237714083,1.2245306338649873
0.25,90023,intermittent,1.5325540361711516,1.5325540361711516,1.3850463167181302,1.3105425672695195,1.2495368328187035,1.1682840758711956,1.1207763564181739,1.0674900749889722,1.01821790913101,1.225672695191883,1.405381561535069,1.8750330833700903,2.2137185707984215,1.0357300397000437,1.0277459197176884,1.015218350242611,1.2375385972651083
0.25,84711A,intermittent,1.237838185206606,1.1320673478568213,1.1371827003405948,1.1041192725403248,1.1296960349591927,1.0880534670008355,1.0242979242979247,1.2844611528822032,1.775907718012979,2.4452991452991437,2.5501638712164953,4.734792108476322,5.577732793522269,1.0000000000000004,1.082938114517062,1.024484287642182,1.0990039200565513
0.25,16156L,intermittent,1.6097231950605753,1.4796741640075752,1.404596985498223,1.289802059823073,1.1337069032609544,1.034269852387993,1.1029133265883202,1.1254053493138247,1.4072171634627821,1.7761952940566101,2.137442602537175,3.0157470101434796,4.31621137831739,1.0963758528549543,1.120943264067242,1.075777622123641,1.3648792383324253
0.25,22033,intermittent,2.5857936988203853,2.0854399096172855,1.6474210706166172,1.4132557899597034,1.270959357779301,1.2096027243597938,1.2235574583666553,1.3943019084128618,1.617892294419935,2.196433131645455,2.9035161597883175,3.9859559955013584,5.556427365649753,1.1309298107099721,1.253644540999667,1.498394960461225,1.2471299902753699
0.25,79534,intermittent,2.275774078107982,1.86472693325035,1.7237747004823403,1.7237747004823403,1.5963435506457133,1.3322389917535398,1.2912400809086664,1.0610238058192003,1.0907110627042167,1.151205850318965,1.2182044499766584,1.660028006846125,1.8772210984907507,1.1562626419791493,1.0711996265753845,1.1610393651781548,1.4567605414656914
0.25,84816,intermittent,1.0362520775277109,1.0191757369756196,1.0120840258425703,1.0,1.0,1.1897079589617987,1.4979255963910376,2.3295427564575215,3.373730052609861,5.444234782500021,8.951732626869784,12.167576821663726,11.728253127225887,1.0,1.0120840258425703,1.0,1.0362520775277109
