code,quadrant,name,side,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
21889,erratic,WI,SAP,101.34298887992254,0.09909386617100371,0.9964953271028038,1.0,7.189700931552052,25.704225352112676,45,82260.76376468691,639
21889,erratic,DY,SAP,96.29124617813736,0.045887546468401486,0.9974747474747475,1.0,8.969581631601997,14.85133020344288,26,102625.21942008054,639
21889,erratic,GR,SAP,83.12183496989991,0.10943308550185873,0.9853556485355649,1.0,2.9504838441668184,34.27230046948357,60,33757.87905605386,639
21889,erratic,Per period 3d,F&O,166.42260273972602,0.22595260223048327,0.9008800370541917,1.0,0.947168314873792,90.82159624413146,159,10837.0,639
21889,erratic,Per period 5d,F&O,125.29940020944574,0.16600836431226765,0.957774798927614,1.0,2.079900537746424,62.26134585289515,109,23797.12430579077,639
21889,erratic,Per period 7d,F&O,99.50274780878827,0.12836895910780668,0.9642233856893543,1.0,2.6162727244445128,45.12519561815336,79,29934.01180083088,639
21889,erratic,Per period 10d,F&O,101.35818310041134,0.10420539033457249,0.9760609357997824,1.0,5.022338561134791,35.41471048513302,62,57462.947326600566,639
21889,erratic,Per period 14d,F&O,102.05275896132294,0.08201672862453531,0.9860335195530726,1.0,7.28027182097199,25.704225352112676,45,83297.02808353149,639
21889,erratic,Per period 21d,F&O,109.2122892746148,0.060757434944237916,0.9961904761904762,1.0,10.235565815450109,16.564945226917057,29,117109.94234093762,639
21889,erratic,Per period 28d,F&O,133.41023187444654,0.04914033457249071,1.0,1.0,14.08900313493056,13.137715179968701,23,161198.93853669195,639
21889,erratic,Per period 42d,F&O,172.12266477925675,0.03229553903345725,0.9893238434163701,1.0,20.177393724812244,7.996870109546166,14,230859.09057771484,639
21889,erratic,Per period 56d,F&O,245.03768222278026,0.028345724907063198,1.0,1.0,29.736996106731176,6.854460093896714,12,340235.0160452592,639
21889,erratic,Per period 84d,F&O,384.5896219404066,0.0191682156133829,1.0,1.0,48.05507853777704,4.569640062597809,8,549820.8480329936,639
21889,erratic,Per period 112d,F&O,524.8680256497967,0.01150092936802974,1.0,1.0,66.33825614512924,2.856025039123631,5,759007.3174487031,639
21889,erratic,Per requirement,F&O,377.0,0.4724674721189591,0.7983902630545741,1.0,0.0,215.34428794992175,377,0.0,639
21889,erratic,Min/Max,F&O,162.75113073942944,0.046933085501858735,0.9975308641975309,0.9041979661227675,18.343500391709384,10.852895148669797,19,209876.65087956697,639
21115,erratic,EX,SAP,231.0,0.15822490706319703,0.4244312870052976,1.0,0.0,131.94835680751174,231,0.0,639
21115,erratic,FX,SAP,73.28468441247885,0.0341542750929368,0.7331670822942643,1.0,13.449949033875715,10.852895148669797,19,14676.970230040577,639
21115,erratic,HB,SAP,100.89079874691829,0.035896840148698886,0.9935691318327974,0.952390970666992,21.033131700929296,9.139280125195619,16,22951.95669824087,639
21115,erratic,TB,SAP,231.0,0.15950278810408922,0.42785914615144904,1.0,0.0,131.94835680751174,231,0.0,639
21115,erratic,WB,SAP,93.32191780821918,0.08178438661710037,0.5945945945945946,1.0,2.061895939822772,48.55242566510172,85,2250.0,639
21115,erratic,MB,SAP,76.14804819691597,0.03717472118959108,0.8888888888888888,0.9996679082988235,11.433959743508744,17.136150234741784,30,12477.064882869869,639
21115,erratic,SP,SAP,55.00842262032501,0.06319702602230483,0.9379310344827586,1.0,6.196259834637147,17.136150234741784,30,6761.53648623602,639
21115,erratic,WI,SAP,75.31361023158829,0.05866635687732342,0.9369202226345084,1.0,11.970514377864198,15.422535211267606,27,13062.568692244236,639
21115,erratic,DY,SAP,71.43477640162426,0.027067843866171004,0.9628099173553719,1.0,13.73490378318837,9.139280125195619,16,14987.921027105818,639
