case,code,quadrant,L,price,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
Spare parts operation,20836,intermittent,14,0.83,17.018046696991703,0.01146512189234854,0.9223300970873787,0.9049225334546077,74.11761826348523,6.816638370118845,11,13232.452074710674,589
Spare parts operation,20836,intermittent,21,0.83,15.317301335505345,0.013396089790007242,0.9652173913043478,0.9581373693755679,28.539634940404397,8.056027164685908,13,5095.271008791874,589
Spare parts operation,20836,intermittent,28,0.83,9.529330498543233,0.013637460777214578,0.9576271186440678,0.99884014666733,18.835070546460596,4.957555178268251,8,3362.6845299293986,589
Spare parts operation,20836,intermittent,42,0.83,8.581682952867293,0.010016895969104513,0.9222222222222223,1.0,31.79573061033514,3.7181663837011882,6,5676.592034919049,589
Spare parts operation,20836,intermittent,56,0.83,14.643474822926729,0.009051412020275163,0.9146341463414634,0.995842298395942,32.55675266075251,7.4363327674023765,12,5812.459701013589,589
Spare parts operation,20836,intermittent,84,0.83,9.24869522848305,0.008810041033067826,1.0,1.0,52.32647517009323,3.098471986417657,5,9342.010592748878,589
Spare parts operation,20836,intermittent,112,0.83,9.631720958035135,0.0065170166545981175,0.9818181818181818,1.0,57.0437790125884,3.098471986417657,5,10184.20572098087,589
Spare parts operation,37489A,intermittent,3,0.39,17.480845509950413,0.010499637943519189,0.6041666666666666,0.9415265299180845,56.46287215466232,10.534804753820033,17,2250.1103991269356,589
Spare parts operation,37489A,intermittent,5,0.39,21.421554515647156,0.011344436398744872,0.6394557823129252,0.9434298226358505,49.500677932212405,13.013582342954159,21,1972.658951425785,589
Spare parts operation,37489A,intermittent,7,0.39,20.528679204801502,0.010861694424330196,0.6293706293706294,0.9116835472033371,62.07970280228699,12.393887945670627,20,2473.9475609301107,589
Spare parts operation,37489A,intermittent,10,0.39,10.756909150324573,0.0068790731354091235,0.7702702702702703,0.8979391240430786,88.87940867302187,6.196943972835314,10,3541.9466649803708,589
Spare parts operation,37489A,intermittent,14,0.39,13.399612895916764,0.011344436398744872,0.7768595041322314,0.9820375580776242,46.924202028692015,8.056027164685908,13,1869.9834232002431,589
Spare parts operation,37489A,intermittent,21,0.39,14.46167955531112,0.011706492879555877,0.8362068965517241,0.96170412353451,54.21232634706585,8.67572156196944,14,2160.4235601097284,589
Spare parts operation,37489A,intermittent,28,0.39,11.533070270002842,0.009654839488293506,0.8695652173913043,0.9844981223264392,62.59531987254217,6.816638370118845,11,2494.495494244069,589
Spare parts operation,37489A,intermittent,42,0.39,6.517674846496409,0.007603186097031137,0.8513513513513513,1.0,60.787525453706365,3.7181663837011882,6,2422.4528073229394,589
Spare parts operation,37489A,intermittent,56,0.39,10.588419702630622,0.007482500603427468,0.9117647058823529,0.9454617751705872,69.09467959125458,6.196943972835314,10,2753.5024546176555,589
Spare parts operation,37489A,intermittent,84,0.39,5.835385154633992,0.0065170166545981175,0.9642857142857143,0.9922549514618447,98.09438626320143,3.098471986417657,5,3909.174121043683,589
