factor,assumed_K,config,who,code,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
2.0,2.0,DY Dynamic Planning Calculation,SAP only,20762,200.26935545771883,0.0,0.0,1.0,241.88211907638143,0.0,0,97464.41965608984,639
2.0,2.0,GR Groff Reorder Procedure,SAP only,20762,103.49810351478098,0.005227695167286246,0.75,1.0,118.96443142141109,2.856025039123631,5,47935.743710526745,639
1.0,1.0,Per period 7d,Both,20894,29.611405501847578,0.031017657992565055,0.6297169811320755,1.0,1.5511888245045016,16.564945226917057,29,378.24238673621403,639
1.0,1.0,Per period 14d,Both,20894,23.21831675990325,0.022653345724907063,0.6414473684210527,1.0,5.628062156416103,11.995305164319248,21,1372.3485040079418,639
1.0,1.0,Per period 28d,Both,20894,18.875435241832488,0.018471189591078067,0.6853448275862069,0.9972067061427852,9.832315572979757,8.568075117370892,15,2397.5150224895892,639
1.0,1.0,Per period 56d,Both,20894,17.273334524643694,0.013592007434944238,0.7548387096774194,0.9997297221996989,18.453080970675824,5.712050078247262,10,4499.6052567710985,639
1.0,1.0,SP Part Period Balancing,SAP only,20894,17.41207961432309,0.015566914498141264,0.9370629370629371,0.9998932391524072,18.805089305431054,5.712050078247262,10,4585.439083437165,639
1.0,1.0,WI Sliding Economic Lot Size,SAP only,20894,22.30908944868019,0.012778810408921933,0.9322033898305084,1.0,36.30340187413197,4.569640062597809,8,8852.233302997067,639
1.0,1.0,DY Dynamic Planning Calculation,SAP only,20894,21.58969538353943,0.009990706319702601,0.9555555555555556,0.9993165478598584,39.55241027975636,3.427230046948357,6,9644.472567782865,639
1.0,1.0,GR Groff Reorder Procedure,SAP only,20894,22.9567266229498,0.024512081784386616,0.7403508771929824,0.9995588973110625,4.964385274515965,11.995305164319248,21,1210.5173175875884,639
0.5,0.5,Per period 7d,Both,20894,29.611405501847578,0.031017657992565055,0.6297169811320755,1.0,1.5511888245045016,16.564945226917057,29,378.24238673621403,639
0.5,0.5,Per period 14d,Both,20894,23.21831675990325,0.022653345724907063,0.6414473684210527,1.0,5.628062156416103,11.995305164319248,21,1372.3485040079418,639
0.5,0.5,Per period 28d,Both,20894,18.875435241832488,0.018471189591078067,0.6853448275862069,0.9972067061427852,9.832315572979757,8.568075117370892,15,2397.5150224895892,639
